"Dataset 1";"Dataset 2";"Test";"p-value";"p-Thr";"Delta";"d 95% CI";"Delta-Thr";"RelDiff";"r 95% CI";"Rel-Thr";"Win";"Power (%)";"Swap";"Reason"
"RandomForest";"GradientBoosting";"AUC";"0.0000";"0.0011";"-0.674";"[-0.762, -0.584]";"0.674";"0.037";"[0.034, 0.041]";"0.048";"0";"0.0";"";"(1) Decision by number of wins";
"RandomForest";"SVM_Linear";"AUC";"0.0000";"0.0042";"-0.504";"[-0.605, -0.400]";"0.674";"0.026";"[0.021, 0.030]";"0.048";"0";"0.0";"";"(1) Decision by number of wins";
"RandomForest";"LogisticRegression";"AUC";"0.0000";"0.0056";"-0.483";"[-0.586, -0.376]";"0.674";"0.025";"[0.021, 0.030]";"0.048";"0";"0.0";"";"(1) Decision by number of wins";
"RandomForest";"DecisionTree";"AUC";"0.0000";"0.0012";"+1.000";"[+1.000, +1.000]";"0.674";"0.193";"[0.186, 0.200]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"RandomForest";"KNN";"AUC";"0.0000";"0.0012";"+1.000";"[+1.000, +1.000]";"0.674";"0.131";"[0.124, 0.137]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"RandomForest";"NaiveBayes";"AUC";"0.0000";"0.0012";"+0.911";"[+0.834, +0.955]";"0.674";"0.072";"[0.064, 0.079]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"RandomForest";"AdaBoost";"AUC";"0.0000";"0.0036";"-0.558";"[-0.652, -0.463]";"0.674";"0.030";"[0.026, 0.033]";"0.048";"0";"0.0";"";"(1) Decision by number of wins";
"RandomForest";"MLP";"AUC";"0.0000";"0.0013";"-0.590";"[-0.680, -0.497]";"0.674";"0.031";"[0.027, 0.035]";"0.048";"0";"0.0";"";"(1) Decision by number of wins";
"GradientBoosting";"DecisionTree";"AUC";"0.0000";"0.0013";"+1.000";"[+1.000, +1.000]";"0.674";"0.230";"[0.222, 0.238]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"GradientBoosting";"KNN";"AUC";"0.0000";"0.0013";"+1.000";"[+1.000, +1.000]";"0.674";"0.168";"[0.162, 0.174]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"GradientBoosting";"NaiveBayes";"AUC";"0.0000";"0.0014";"+0.999";"[+0.984, +1.000]";"0.674";"0.109";"[0.103, 0.116]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"GradientBoosting";"ExtraTrees";"AUC";"0.0000";"0.0014";"+0.914";"[+0.837, +0.957]";"0.674";"0.061";"[0.057, 0.064]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"SVM_Linear";"DecisionTree";"AUC";"0.0000";"0.0014";"+1.000";"[+1.000, +1.000]";"0.674";"0.218";"[0.210, 0.227]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"SVM_Linear";"KNN";"AUC";"0.0000";"0.0015";"+1.000";"[+1.000, +1.000]";"0.674";"0.156";"[0.150, 0.163]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"SVM_Linear";"NaiveBayes";"AUC";"0.0000";"0.0015";"+0.991";"[+0.946, +1.000]";"0.674";"0.098";"[0.091, 0.104]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"SVM_Linear";"ExtraTrees";"AUC";"0.0000";"0.0016";"+0.822";"[+0.723, +0.893]";"0.674";"0.049";"[0.045, 0.053]";"0.048";"1";"61.3";"";"(1) Decision by number of wins";
"LogisticRegression";"DecisionTree";"AUC";"0.0000";"0.0016";"+1.000";"[+1.000, +1.000]";"0.674";"0.218";"[0.210, 0.226]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"LogisticRegression";"KNN";"AUC";"0.0000";"0.0017";"+1.000";"[+1.000, +1.000]";"0.674";"0.156";"[0.149, 0.161]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"LogisticRegression";"NaiveBayes";"AUC";"0.0000";"0.0017";"+0.990";"[+0.954, +0.998]";"0.674";"0.097";"[0.091, 0.104]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"LogisticRegression";"ExtraTrees";"AUC";"0.0000";"0.0018";"+0.815";"[+0.714, +0.886]";"0.674";"0.048";"[0.044, 0.052]";"0.048";"1";"50.3";"";"(1) Decision by number of wins";
"DecisionTree";"KNN";"AUC";"0.0000";"0.0019";"-0.895";"[-0.948, -0.809]";"0.674";"0.063";"[0.053, 0.072]";"0.048";"1";"99.8";"";"(1) Decision by number of wins";
"DecisionTree";"NaiveBayes";"AUC";"0.0000";"0.0019";"-0.998";"[-1.000, -0.988]";"0.674";"0.121";"[0.111, 0.132]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"DecisionTree";"AdaBoost";"AUC";"0.0000";"0.0020";"-1.000";"[-1.000, -1.000]";"0.674";"0.222";"[0.214, 0.230]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"DecisionTree";"ExtraTrees";"AUC";"0.0000";"0.0021";"-1.000";"[-1.000, -1.000]";"0.674";"0.170";"[0.162, 0.177]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"DecisionTree";"MLP";"AUC";"0.0000";"0.0011";"-1.000";"[-1.000, -1.000]";"0.674";"0.224";"[0.216, 0.231]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"KNN";"NaiveBayes";"AUC";"0.0000";"0.0033";"-0.859";"[-0.924, -0.764]";"0.674";"0.059";"[0.052, 0.065]";"0.048";"1";"99.9";"";"(1) Decision by number of wins";
"KNN";"AdaBoost";"AUC";"0.0000";"0.0022";"-1.000";"[-1.000, -1.000]";"0.674";"0.160";"[0.154, 0.166]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"KNN";"ExtraTrees";"AUC";"0.0000";"0.0023";"-0.997";"[-1.000, -0.981]";"0.674";"0.108";"[0.101, 0.113]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"KNN";"MLP";"AUC";"0.0000";"0.0024";"-1.000";"[-1.000, -1.000]";"0.674";"0.161";"[0.156, 0.167]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"NaiveBayes";"AdaBoost";"AUC";"0.0000";"0.0025";"-0.996";"[-1.000, -0.976]";"0.674";"0.101";"[0.095, 0.108]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"NaiveBayes";"ExtraTrees";"AUC";"0.0000";"0.0026";"-0.750";"[-0.835, -0.646]";"0.674";"0.049";"[0.042, 0.056]";"0.048";"1";"51.7";"";"(1) Decision by number of wins";
"NaiveBayes";"MLP";"AUC";"0.0000";"0.0028";"-0.999";"[-1.000, -0.988]";"0.674";"0.103";"[0.097, 0.109]";"0.048";"1";"100.0";"";"(1) Decision by number of wins";
"AdaBoost";"ExtraTrees";"AUC";"0.0000";"0.0029";"+0.848";"[+0.756, +0.914]";"0.674";"0.053";"[0.049, 0.057]";"0.048";"1";"99.1";"";"(1) Decision by number of wins";
"ExtraTrees";"MLP";"AUC";"0.0000";"0.0031";"-0.882";"[-0.938, -0.792]";"0.674";"0.054";"[0.050, 0.058]";"0.048";"1";"99.8";"";"(1) Decision by number of wins";
"RandomForest";"ExtraTrees";"AUC";"0.0000";"0.0038";"+0.446";"[+0.358, +0.534]";"0.674";"0.023";"[0.020, 0.026]";"0.048";"0";"0.0";"";"(2) Decision by Cliff's d";
"GradientBoosting";"SVM_Linear";"AUC";"0.0000";"0.0050";"+0.255";"[+0.182, +0.322]";"0.674";"0.012";"[0.009, 0.014]";"0.048";"0";"0.0";"";"(2) Decision by Cliff's d";
"GradientBoosting";"LogisticRegression";"AUC";"0.0000";"0.0045";"+0.270";"[+0.194, +0.345]";"0.674";"0.012";"[0.010, 0.015]";"0.048";"0";"0.0";"";"(2) Decision by Cliff's d";
"GradientBoosting";"AdaBoost";"AUC";"0.0000";"0.0063";"+0.177";"[+0.122, +0.225]";"0.674";"0.008";"[0.006, 0.009]";"0.048";"0";"0.0";"";"(2) Decision by Cliff's d";
"GradientBoosting";"MLP";"AUC";"0.0000";"0.0071";"+0.166";"[+0.099, +0.229]";"0.674";"0.006";"[0.005, 0.008]";"0.048";"0";"0.0";"";"(2) Decision by Cliff's d";
"SVM_Linear";"LogisticRegression";"AUC";"0.1284";"0.0250";"+0.016";"[-0.024, +0.046]";"0.674";"0.001";"[0.000, 0.001]";"0.048";"0";"0.0";"";"(2) Decision by Cliff's d";
"SVM_Linear";"AdaBoost";"AUC";"0.0009";"0.0125";"-0.086";"[-0.142, -0.024]";"0.674";"0.004";"[0.002, 0.006]";"0.048";"0";"0.0";"";"(2) Decision by Cliff's d";
"SVM_Linear";"MLP";"AUC";"0.0010";"0.0167";"-0.099";"[-0.166, -0.010]";"0.674";"0.005";"[0.002, 0.008]";"0.048";"0";"0.0";"";"(2) Decision by Cliff's d";
"LogisticRegression";"AdaBoost";"AUC";"0.0004";"0.0100";"-0.100";"[-0.155, -0.038]";"0.674";"0.004";"[0.002, 0.007]";"0.048";"0";"0.0";"";"(2) Decision by Cliff's d";
"LogisticRegression";"MLP";"AUC";"0.0003";"0.0083";"-0.118";"[-0.186, -0.030]";"0.674";"0.006";"[0.003, 0.009]";"0.048";"0";"0.0";"";"(2) Decision by Cliff's d";
