,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
RandomForest,1.0,3.761546629732493e-12,0.014932611460345191,0.09485662707638864,5.755050880296153e-10,1.6116215312611537e-05,0.016752843731214218,0.00013880683537659255,0.7662239536464674,1.3548905799742883e-05
GradientBoosting,3.761546629732493e-12,1.0,0.0033816320860778903,0.0002589620179467289,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.13372655515091414,1.1102230246251565e-16,0.3596703394934119
SVM_Linear,0.014932611460345191,0.0033816320860778903,1.0,0.9998759083121738,1.1102230246251565e-16,3.3306690738754696e-16,8.953982000292626e-11,0.9824977290027544,5.595987347506437e-06,0.8556151554118195
LogisticRegression,0.09485662707638864,0.0002589620179467289,0.9998759083121738,1.0,1.1102230246251565e-16,4.529709940470639e-14,5.347483345019555e-09,0.7858176247744032,0.00011842560456454265,0.4706988703688818
DecisionTree,5.755050880296153e-10,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0,0.8046008967495794,0.03602546915440008,1.1102230246251565e-16,2.2726168417808168e-05,1.1102230246251565e-16
KNN,1.6116215312611537e-05,1.1102230246251565e-16,3.3306690738754696e-16,4.529709940470639e-14,0.8046008967495794,1.0,0.855615155411819,1.1102230246251565e-16,0.029154952293031444,1.1102230246251565e-16
NaiveBayes,0.016752843731214218,1.1102230246251565e-16,8.953982000292626e-11,5.347483345019555e-09,0.03602546915440008,0.855615155411819,1.0,1.532107773982716e-14,0.7662239536464669,3.3306690738754696e-16
AdaBoost,0.00013880683537659255,0.13372655515091414,0.9824977290027544,0.7858176247744032,1.1102230246251565e-16,1.1102230246251565e-16,1.532107773982716e-14,1.0,6.643474104173208e-09,0.9999853773123147
ExtraTrees,0.7662239536464674,1.1102230246251565e-16,5.595987347506437e-06,0.00011842560456454265,2.2726168417808168e-05,0.029154952293031444,0.7662239536464669,6.643474104173208e-09,1.0,2.8875646318482495e-10
MLP,1.3548905799742883e-05,0.3596703394934119,0.8556151554118195,0.4706988703688818,1.1102230246251565e-16,1.1102230246251565e-16,3.3306690738754696e-16,0.9999853773123147,2.8875646318482495e-10,1.0
