,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
RandomForest,1.0,0.9999735446710152,5.5635052120805994e-11,0.2900204555164818,4.936184794246401e-11,4.440892098500626e-16,1.1102230246251565e-16,7.989873900271505e-07,0.9264974756327021,0.020998083762721276
GradientBoosting,0.9999735446710152,1.0,1.3675727217332678e-12,0.0907066193004884,1.2035927809961322e-12,1.1102230246251565e-16,1.1102230246251565e-16,4.023825439514184e-08,0.6697379099162686,0.09485662707638898
SVM_Linear,5.5635052120805994e-11,1.3675727217332678e-12,1.0,0.00015021226180800262,1.0,0.8915412178953687,0.0006853277231634314,0.9041776233508663,5.439999390954853e-07,1.1102230246251565e-16
LogisticRegression,0.2900204555164818,0.0907066193004884,0.00015021226180800262,1.0,0.00013880683537659255,3.6270963676976464e-08,1.1102230246251565e-16,0.04894064128449216,0.9885667952156612,1.6729091101286286e-07
DecisionTree,4.936184794246401e-11,1.2035927809961322e-12,1.0,0.00013880683537659255,1.0,0.8979835078952878,0.0007370616732551571,0.8979835078952878,4.938201014770272e-07,1.1102230246251565e-16
KNN,4.440892098500626e-16,1.1102230246251565e-16,0.8915412178953687,3.6270963676976464e-08,0.8979835078952878,1.0,0.13372655515091347,0.086703826011581,2.703037793594376e-11,1.1102230246251565e-16
NaiveBayes,1.1102230246251565e-16,1.1102230246251565e-16,0.0006853277231634314,1.1102230246251565e-16,0.0007370616732551571,0.13372655515091347,1.0,3.3440343516488724e-07,1.1102230246251565e-16,1.1102230246251565e-16
AdaBoost,7.989873900271505e-07,4.023825439514184e-08,0.9041776233508663,0.04894064128449216,0.8979835078952878,0.086703826011581,3.3440343516488724e-07,1.0,0.0009831353680448407,1.1102230246251565e-16
ExtraTrees,0.9264974756327021,0.6697379099162686,5.439999390954853e-07,0.9885667952156612,4.938201014770272e-07,2.703037793594376e-11,1.1102230246251565e-16,0.0009831353680448407,1.0,5.713922763617152e-05
MLP,0.020998083762721276,0.09485662707638898,1.1102230246251565e-16,1.6729091101286286e-07,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.713922763617152e-05,1.0
