,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
RandomForest,1.0,0.12828952932125248,2.2896040619002633e-10,0.03995822711676922,5.439999390954853e-07,0.00010933905370069663,2.220446049250313e-16,1.1683995654321322e-06,0.7248462032150458,0.7953139446788013
GradientBoosting,0.12828952932125248,1.0,0.0018464842123073755,0.9999945196923868,7.771561172376096e-16,2.2728485760126205e-12,1.2382205716310324e-07,0.15722824837595784,0.00015021226180800262,0.0002589620179467289
SVM_Linear,2.2896040619002633e-10,0.0018464842123073755,1.0,0.009297724930288354,1.1102230246251565e-16,1.1102230246251565e-16,0.6921665769478927,0.9450072218591223,2.220446049250313e-16,4.440892098500626e-16
LogisticRegression,0.03995822711676922,0.9999945196923868,0.009297724930288354,1.0,1.1102230246251565e-16,8.848477506262498e-14,1.4106110064471267e-06,0.3702346924988419,1.9148616937747498e-05,3.4702974185951696e-05
DecisionTree,5.439999390954853e-07,7.771561172376096e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0,0.9928344010849488,1.1102230246251565e-16,1.1102230246251565e-16,0.004113767701825033,0.0025924104544955417
KNN,0.00010933905370069663,2.2728485760126205e-12,1.1102230246251565e-16,8.848477506262498e-14,0.9928344010849488,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.10822171897172317,0.07912680446402365
NaiveBayes,2.220446049250313e-16,1.2382205716310324e-07,0.6921665769478927,1.4106110064471267e-06,1.1102230246251565e-16,1.1102230246251565e-16,1.0,0.0442548913024462,1.1102230246251565e-16,1.1102230246251565e-16
AdaBoost,1.1683995654321322e-06,0.15722824837595784,0.9450072218591223,0.3702346924988419,1.1102230246251565e-16,1.1102230246251565e-16,0.0442548913024462,1.0,7.0179417832605395e-12,1.6616041875749943e-11
ExtraTrees,0.7248462032150458,0.00015021226180800262,2.220446049250313e-16,1.9148616937747498e-05,0.004113767701825033,0.10822171897172317,1.1102230246251565e-16,7.0179417832605395e-12,1.0,0.9999999999332795
MLP,0.7953139446788013,0.0002589620179467289,4.440892098500626e-16,3.4702974185951696e-05,0.0025924104544955417,0.07912680446402365,1.1102230246251565e-16,1.6616041875749943e-11,0.9999999999332795,1.0
