Final Rank;Dataset;Bootstrap Rank;Frequency (%);Rank Count
1;"LogisticRegression";1;100;200
2;"MLP";2;100;200
3;"AdaBoost";3;75.5;151
3;"AdaBoost";4;18.5;37
3;"AdaBoost";5;2;4
3;"AdaBoost";6;3;6
3;"AdaBoost";7;1;2
4;"GradientBoosting";3;14.5;29
4;"GradientBoosting";4;47.5;95
4;"GradientBoosting";5;35.5;71
4;"GradientBoosting";6;2.5;5
5;"SVM_Linear";3;9.5;19
5;"SVM_Linear";4;33;66
5;"SVM_Linear";5;50.5;101
5;"SVM_Linear";6;7;14
6;"RandomForest";3;0.5;1
6;"RandomForest";4;1;2
6;"RandomForest";5;12;24
6;"RandomForest";6;86.5;173
7;"KNN";7;66.5;133
7;"KNN";8;33.5;67
8;"DecisionTree";8;66.5;133
8;"DecisionTree";9;33.5;67
9;"ExtraTrees";6;1;2
9;"ExtraTrees";7;32.5;65
9;"ExtraTrees";9;66.5;133
10;"NaiveBayes";10;100;200
