Rank;Dataset;Rank CI (95%);Mean Recall (± SD);Mean F1 (± SD);Mean Precision (± SD)
"1";"LogisticRegression";"[1.00, 1.00]";"0.501 ± 0.044";"0.589 ± 0.039";"0.718 ± 0.042"
"2";"MLP";"[2.00, 2.00]";"0.573 ± 0.046";"0.587 ± 0.034";"0.602 ± 0.031"
"3";"AdaBoost";"[3.00, 6.00]";"0.472 ± 0.047";"0.559 ± 0.043";"0.687 ± 0.046"
"4";"GradientBoosting";"[3.00, 5.50]";"0.468 ± 0.042";"0.570 ± 0.040";"0.732 ± 0.043"
"5";"SVM_Linear";"[3.00, 6.00]";"0.465 ± 0.044";"0.569 ± 0.043";"0.738 ± 0.047"
"6";"RandomForest";"[5.00, 6.00]";"0.459 ± 0.042";"0.568 ± 0.040";"0.749 ± 0.043"
"7";"KNN";"[7.00, 8.00]";"0.443 ± 0.044";"0.531 ± 0.042";"0.665 ± 0.047"
"8";"DecisionTree";"[8.00, 9.00]";"0.530 ± 0.037";"0.522 ± 0.034";"0.516 ± 0.038"
"9";"ExtraTrees";"[7.00, 9.00]";"0.431 ± 0.045";"0.545 ± 0.043";"0.748 ± 0.047"
"10";"NaiveBayes";"[10.00, 10.00]";"0.701 ± 0.032";"0.471 ± 0.020";"0.355 ± 0.017"
