"Borda Rank";"Borda Score (%)";"Dataset";"Recall -> F1 -> Precision";"Recall -> Precision -> F1";"F1 -> Recall -> Precision";"F1 -> Precision -> Recall";"Precision -> Recall -> F1";"Precision -> F1 -> Recall"
1;"79.6%";"LogisticRegression";1;1;5;1;4;5
2;"68.5%";"GradientBoosting";4;3;4;3;6;3
3;"63.0%";"MLP";2;8;2;8;2;4
4;"55.6%";"RandomForest";6;2;10;4;7;1
5;"55.6%";"SVM_Linear";5;4;8;2;9;2
6;"55.6%";"AdaBoost";3;5;6;5;5;6
7;"37.0%";"DecisionTree";8;9;3;9;3;8
8;"33.3%";"NaiveBayes";10;10;1;10;1;10
9;"27.8%";"KNN";7;7;9;7;8;7
10;"24.1%";"ExtraTrees";9;6;7;6;10;9
