"Borda Rank","Borda Score (%)","Dataset","Recall -> F1 -> Precision","Precision -> F1 -> Recall","Precision -> Recall -> F1","F1 -> Precision -> Recall","F1 -> Recall -> Precision","Recall -> Precision -> F1"
1,"79.6%","LogisticRegression",1,5,4,1,5,1
2,"68.5%","GradientBoosting",4,3,6,3,4,3
3,"63.0%","MLP",2,4,2,8,2,8
4,"55.6%","RandomForest",6,1,7,4,10,2
5,"55.6%","SVM_Linear",5,2,9,2,8,4
6,"55.6%","AdaBoost",3,6,5,5,6,5
7,"37.0%","DecisionTree",8,8,3,9,3,9
8,"33.3%","NaiveBayes",10,10,1,10,1,10
9,"27.8%","KNN",7,7,8,7,9,7
10,"24.1%","ExtraTrees",9,9,10,6,7,6
