,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
RandomForest,0.0,0.00164,0.02124,0.0,1.0,1.0,1.0,0.93716,0.99996,0.00036
GradientBoosting,0.02158,0.0,0.04334,0.0,1.0,1.0,1.0,0.91734,1.0,0.0001
SVM_Linear,0.09208,0.01688,0.0,0.0,1.0,1.0,1.0,0.91968,1.0,0.00064
LogisticRegression,0.99994,0.99974,0.99998,0.0,1.0,1.0,1.0,1.0,1.0,0.57246
DecisionTree,0.0,0.0,0.0,0.0,0.0,0.06688,1.0,0.0,0.0,0.0
KNN,0.0,0.0,0.0,0.0,0.92798,0.0,1.0,0.0,0.00014,0.0
NaiveBayes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdaBoost,0.00322,0.0,0.00014,0.0,1.0,1.0,1.0,0.0,0.99092,0.0
ExtraTrees,0.0,0.0,0.0,0.0,0.99996,0.95782,1.0,0.00584,0.0,0.0
MLP,0.9996,0.9991,0.99948,0.36672,1.0,1.0,1.0,1.0,1.0,0.0
