,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
RandomForest,1.0,0.97646,0.88842,8e-05,0.0,0.0,0.0,0.0593,4e-05,2e-05
GradientBoosting,0.97644,1.0,0.93904,0.00018,0.0,0.0,0.0,0.08266,0.0,0.00072
SVM_Linear,0.8863,0.94098,1.0,0.0,0.0,0.0,0.0,0.07994,0.0,0.00026
LogisticRegression,6e-05,0.00026,2e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.05912
DecisionTree,0.0,0.0,0.0,0.0,1.0,0.00684,0.0,0.0,0.0,0.0
KNN,0.0,0.0,0.0,0.0,0.00628,1.0,0.0,0.0,0.04104,0.0
NaiveBayes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AdaBoost,0.05984,0.08114,0.07818,0.0,0.0,0.0,0.0,1.0,0.00276,0.0
ExtraTrees,4e-05,0.0,6e-05,0.0,2e-05,0.04206,0.0,0.00304,1.0,0.0
MLP,4e-05,0.00072,8e-05,0.05866,0.0,0.0,0.0,0.0,0.0,1.0
