,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
RandomForest,0.0,0.99336,0.98186,1.0,1.0,1.0,1.0,1.0,0.52812,1.0
GradientBoosting,0.0,0.0,0.10578,0.99784,1.0,1.0,1.0,1.0,0.0014,1.0
SVM_Linear,0.0151,0.8447,0.0,0.99978,1.0,1.0,1.0,1.0,0.02852,1.0
LogisticRegression,0.0,0.00074,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
DecisionTree,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KNN,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00136,0.0,1.0
NaiveBayes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdaBoost,0.0,0.0,0.0,0.0,1.0,0.999,1.0,0.0,0.0,1.0
ExtraTrees,0.42538,0.99798,0.96636,1.0,1.0,1.0,1.0,1.0,0.0,1.0
MLP,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
