,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
RandomForest,0.0,0.0,0.01408,0.0,0.0,0.0,0.0,0.0,0.4249,0.0
GradientBoosting,0.99314,0.0,0.84512,0.0005,0.0,0.0,0.0,0.0,0.998,0.0
SVM_Linear,0.98026,0.10598,0.0,0.0,0.0,0.0,0.0,0.0,0.96714,0.0
LogisticRegression,1.0,0.99784,0.99984,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DecisionTree,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
KNN,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.99864,1.0,0.0
NaiveBayes,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
AdaBoost,1.0,1.0,1.0,1.0,0.0,0.001,0.0,0.0,1.0,0.0
ExtraTrees,0.52604,0.00118,0.02878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
