,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
RandomForest,1.0,0.00664,0.00406,0.0,0.0,0.0,0.0,0.0,0.04698,0.0
GradientBoosting,0.00686,1.0,0.0491,0.00166,0.0,0.0,0.0,0.0,0.0006,0.0
SVM_Linear,0.00464,0.04932,1.0,0.00022,0.0,0.0,0.0,0.0,0.00434,0.0
LogisticRegression,0.0,0.00142,0.00016,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DecisionTree,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KNN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NaiveBayes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AdaBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ExtraTrees,0.04858,0.00084,0.00486,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
