,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
RandomForest,0.0,0.0,0.00024,0.0,0.0,0.9927,0.0,8e-05,1.0,0.0
GradientBoosting,0.30392,0.0,0.0275,0.0,0.0,1.0,0.0,0.0002,1.0,0.0
SVM_Linear,0.27574,0.00072,0.0,0.0,0.0,0.9998,0.0,0.0002,1.0,0.0
LogisticRegression,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
DecisionTree,1.0,1.0,1.0,0.99988,0.0,1.0,0.0,1.0,1.0,0.0
KNN,0.00068,2e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.97082,0.0
NaiveBayes,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
AdaBoost,0.94562,0.08146,0.41554,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ExtraTrees,0.0,0.0,0.0,0.0,0.0,0.00288,0.0,0.0,0.0,0.0
MLP,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
