,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
RandomForest,0.0,0.30174,0.27918,1.0,1.0,0.00072,1.0,0.94344,0.0,1.0
GradientBoosting,0.0,0.0,0.00076,1.0,1.0,0.0,1.0,0.08234,0.0,1.0
SVM_Linear,0.00018,0.0277,0.0,1.0,1.0,0.0,1.0,0.41296,0.0,1.0
LogisticRegression,0.0,0.0,0.0,0.0,0.99994,0.0,1.0,0.0,0.0,1.0
DecisionTree,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
KNN,0.99264,0.99998,0.9997,1.0,1.0,0.0,1.0,1.0,0.00318,1.0
NaiveBayes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdaBoost,0.00012,4e-05,0.00024,1.0,1.0,0.0,1.0,0.0,0.0,1.0
ExtraTrees,1.0,1.0,1.0,1.0,1.0,0.96994,1.0,1.0,0.0,1.0
MLP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
