,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
RandomForest,1.0,0.69826,0.72058,0.0,0.0,0.00658,0.0,0.05648,0.0,0.0
GradientBoosting,0.69608,1.0,0.97174,0.0,0.0,0.0,0.0,0.91746,0.0,0.0
SVM_Linear,0.72408,0.97158,1.0,0.0,0.0,0.0002,0.0,0.58684,0.0,0.0
LogisticRegression,0.0,0.0,0.0,1.0,6e-05,0.0,0.0,0.0,0.0,0.0
DecisionTree,0.0,0.0,0.0,0.00012,1.0,0.0,0.0,0.0,0.0,0.0
KNN,0.00668,0.0,0.00028,0.0,0.0,1.0,0.0,0.0,0.026,0.0
NaiveBayes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AdaBoost,0.05426,0.9185,0.58422,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ExtraTrees,0.0,0.0,0.0,0.0,0.0,0.02718,0.0,0.0,1.0,0.0
MLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
