,F1,Recall,Precision,Total,Mean_Score_%
LogisticRegression,85.66666666666667,64.88888888888889,62.11111111111111,212.66666666666666,70.88888888888889
MLP,80.88888888888889,85.66666666666667,22.666666666666664,189.2222222222222,63.07407407407407
RandomForest,63.66666666666667,29.777777777777775,84.55555555555556,178.0,59.333333333333336
GradientBoosting,64.77777777777777,36.77777777777778,73.55555555555556,175.1111111111111,58.37037037037036
SVM_Linear,62.44444444444445,34.88888888888889,77.33333333333333,174.66666666666669,58.22222222222223
AdaBoost,49.77777777777778,41.44444444444444,45.77777777777778,137.0,45.666666666666664
ExtraTrees,39.88888888888889,11.0,83.11111111111111,134.0,44.666666666666664
DecisionTree,23.88888888888889,75.33333333333333,11.333333333333332,110.55555555555554,36.85185185185185
NaiveBayes,1.7777777777777777,100.0,0.0,101.77777777777777,33.925925925925924
KNN,27.22222222222222,20.22222222222222,39.55555555555556,87.0,29.0
