Rank;Dataset;Rank CI (95%);Mean Accuracy (± SD)
"1";"Qwen2.5-72B";"[1.00, 2.00]";"0.563 ± 0.023"
"2";"Mistral-Large-2411";"[1.00, 2.00]";"0.556 ± 0.025"
"3";"Phi-4";"[3.00, 4.00]";"0.538 ± 0.022"
"4";"Llama-3.3-70B";"[3.00, 4.00]";"0.533 ± 0.024"
"5";"DeepSeek-R1-Llama-70B";"[5.00, 6.00]";"0.475 ± 0.024"
"6";"DeepSeek-R1-Qwen-32B";"[5.00, 6.00]";"0.469 ± 0.023"
"7";"Gemma-2-27B";"[7.00, 7.00]";"0.445 ± 0.021"
"8";"Qwen2.5-7B";"[8.00, 8.00]";"0.429 ± 0.023"
"9";"Gemma-2-9B";"[9.00, 10.00]";"0.388 ± 0.026"
"10";"Llama-3.1-8B";"[9.00, 10.00]";"0.380 ± 0.025"
"11";"Mistral-Nemo";"[11.00, 11.00]";"0.352 ± 0.024"
"12";"DeepSeek-R1-Llama-8B";"[12.00, 12.00]";"0.209 ± 0.016"
