Metric;Effect Size;Correction Factor;Median;Mean;Min;Max
OC;Cliff's Delta;Bias (z0);+0.000;+0.010;-0.152;+0.124
OC;Cliff's Delta;Skewness (a);+0.000;+0.010;-0.063;+0.101
OC;Relative Difference;Bias (z0);-0.007;-0.005;-0.056;+0.079
OC;Relative Difference;Skewness (a);-0.011;-0.012;-0.027;+0.005
CNR;Cliff's Delta;Bias (z0);+0.069;+0.135;-2.818;+2.520
CNR;Cliff's Delta;Skewness (a);-0.003;+0.003;-0.045;+0.064
CNR;Relative Difference;Bias (z0);+0.011;+0.017;-0.033;+0.063
CNR;Relative Difference;Skewness (a);+0.001;+0.011;-0.002;+0.033
SNR;Cliff's Delta;Bias (z0);+0.000;-0.001;-0.221;+0.212
SNR;Cliff's Delta;Skewness (a);+0.000;-0.001;-0.117;+0.106
SNR;Relative Difference;Bias (z0);-0.005;-0.007;-0.041;+0.033
SNR;Relative Difference;Skewness (a);+0.007;+0.001;-0.008;+0.009
