Final Rank;Dataset;Bootstrap Rank;Frequency (%);Rank Count
1;Method D;1;100;550
2;Method B;2;78;429
2;Method B;3;0.91;5
2;Method B;4;21.09;116
3;Method A;2;3.09;17
3;Method A;3;22;121
3;Method A;4;15.45;85
3;Method A;5;55.27;304
3;Method A;6;4.18;23
4;Method F;2;18.91;104
4;Method F;3;52.91;291
4;Method F;4;25.64;141
4;Method F;5;2.55;14
5;Method E;3;16.36;90
5;Method E;4;37.82;208
5;Method E;5;41.27;227
5;Method E;6;4.55;25
6;Method C;3;7.82;43
6;Method C;5;0.91;5
6;Method C;6;91.27;502
