"Dataset 1";"Dataset 2";"Test";"p-value";"p-Thr";"Delta";"d 95% CI";"Delta-Thr";"RelDiff";"r 95% CI";"Rel-Thr";"Win";"Power (%)";"Swap";"Reason"
"Method A";"Method B";"OC";0.0000;0.0033;-1.000;"[-1.000, -1.000]";1.000;1.192;"[1.190, 1.193]";0.622;"1";"100.0";"";"(1) Decision by number of wins"
"Method A";"Method C";"OC";0.0000;0.0036;-1.000;"[-1.000, -1.000]";1.000;1.762;"[1.736, 1.783]";0.622;"1";"100.0";"";"(1) Decision by number of wins"
"Method A";"Method D";"OC";0.0000;0.0038;-1.000;"[-1.000, -1.000]";1.000;1.571;"[1.546, 1.591]";0.622;"1";"100.0";"";"(1) Decision by number of wins"
"Method B";"Method C";"OC";0.0000;0.0050;-1.000;"[-1.000, -1.000]";1.000;1.202;"[1.138, 1.260]";0.622;"1";"100.0";"";"(1) Decision by number of wins"
"Method B";"Method D";"OC";0.0000;0.0056;-1.000;"[-1.000, -1.000]";1.000;0.713;"[0.657, 0.758]";0.622;"1";"100.0";"";"(1) Decision by number of wins"
"Method B";"Method E";"OC";0.0000;0.0063;+1.000;"[+1.000, +1.000]";1.000;0.919;"[0.908, 0.928]";0.622;"1";"100.0";"";"(1) Decision by number of wins"
"Method B";"Method F";"OC";0.0000;0.0071;+0.873;"[+0.742, +0.951]";1.000;0.468;"[0.461, 0.475]";0.622;"0";"0.0";"";"(1) Decision by number of wins"
"Method C";"Method D";"OC";0.0000;0.0083;+1.000;"[+1.000, +1.000]";1.000;0.622;"[0.568, 0.677]";0.622;"1";"50.4";"";"(1) Decision by number of wins"
"Method C";"Method E";"OC";0.0000;0.0100;+1.000;"[+1.000, +1.000]";1.000;1.662;"[1.630, 1.689]";0.622;"1";"100.0";"";"(1) Decision by number of wins"
"Method C";"Method F";"OC";0.0000;0.0125;+1.000;"[+1.000, +1.000]";1.000;1.464;"[1.415, 1.505]";0.622;"1";"100.0";"";"(1) Decision by number of wins"
"Method D";"Method E";"OC";0.0000;0.0167;+1.000;"[+1.000, +1.000]";1.000;1.402;"[1.375, 1.426]";0.622;"1";"100.0";"";"(1) Decision by number of wins"
"Method D";"Method F";"OC";0.0000;0.0250;+1.000;"[+1.000, +1.000]";1.000;1.090;"[1.049, 1.124]";0.622;"1";"100.0";"";"(1) Decision by number of wins"
"Method A";"Method E";"OC";0.0000;0.0042;-0.787;"[-0.898, -0.636]";1.000;0.376;"[0.362, 0.389]";0.622;"0";"0.0";"";"(2) Decision by Cliff's d"
"Method A";"Method F";"OC";0.0000;0.0045;-0.996;"[-1.000, -0.967]";1.000;0.841;"[0.834, 0.848]";0.622;"0";"44.1";"";"(2) Decision by Cliff's d"
"Method E";"Method F";"OC";0.0000;0.0500;-0.913;"[-0.971, -0.804]";1.000;0.505;"[0.500, 0.510]";0.622;"0";"0.0";"";"(2) Decision by Cliff's d"
"Method A";"Method C";"CNR";0.0010;0.0167;+0.438;"[+0.169, +0.631]";0.109;0.165;"[0.088, 0.256]";0.078;"1";"90.0";"1";""
"Method B";"Method C";"CNR";0.0132;0.0500;+0.311;"[+0.047, +0.549]";0.109;0.121;"[0.050, 0.215]";0.078;"1";"72.2";"1";""
"Method C";"Method D";"CNR";0.0000;0.0063;-0.958;"[-0.991, -0.869]";0.109;0.494;"[0.431, 0.572]";0.078;"1";"100.0";"1";""
"Method C";"Method E";"CNR";0.0020;0.0250;-0.396;"[-0.613, -0.127]";0.109;0.151;"[0.079, 0.244]";0.078;"1";"87.1";"1";""
"Method C";"Method F";"CNR";0.0006;0.0125;-0.464;"[-0.667, -0.220]";0.109;0.174;"[0.102, 0.261]";0.078;"1";"91.6";"1";""
"Method A";"Method D";"CNR";0.0000;0.0036;-0.764;"[-0.880, -0.629]";0.109;0.336;"[0.322, 0.351]";0.078;"1";"100.0";"0";"Ranking already correct"
"Method B";"Method D";"CNR";0.0000;0.0045;-0.824;"[-0.920, -0.698]";0.109;0.378;"[0.365, 0.392]";0.078;"1";"100.0";"0";"Ranking already correct"
"Method D";"Method E";"CNR";0.0000;0.0071;+0.780;"[+0.638, +0.884]";0.109;0.349;"[0.334, 0.365]";0.078;"1";"100.0";"0";"Ranking already correct"
"Method D";"Method F";"CNR";0.0000;0.0083;+0.744;"[+0.596, +0.844]";0.109;0.327;"[0.312, 0.342]";0.078;"1";"100.0";"0";"Ranking already correct"
"Method A";"Method B";"CNR";0.0000;0.0033;+0.162;"[+0.102, +0.202]";0.109;0.044;"[0.041, 0.047]";0.078;"0";"0.0";"0";"Criteria for CNR win not met"
"Method A";"Method E";"CNR";0.0000;0.0038;+0.064;"[+0.058, +0.058]";0.109;0.014;"[0.012, 0.016]";0.078;"0";"0.0";"0";"Criteria for CNR win not met"
"Method A";"Method F";"CNR";0.0000;0.0042;-0.064;"[-0.062, -0.056]";0.109;0.009;"[0.008, 0.011]";0.078;"0";"0.0";"0";"Criteria for CNR win not met"
"Method B";"Method E";"CNR";0.0000;0.0050;-0.109;"[-0.129, -0.076]";0.109;0.030;"[0.027, 0.032]";0.078;"0";"0.0";"0";"Criteria for CNR win not met"
"Method B";"Method F";"CNR";0.0000;0.0056;-0.182;"[-0.236, -0.118]";0.109;0.053;"[0.049, 0.057]";0.078;"0";"0.0";"0";"Criteria for CNR win not met"
"Method E";"Method F";"CNR";0.0000;0.0100;-0.100;"[-0.113, -0.071]";0.109;0.023;"[0.020, 0.027]";0.078;"0";"0.0";"0";"Criteria for CNR win not met"
"Method A";"Method E";"SNR";0.0000;0.0042;+1.000;"[+1.000, +1.000]";1.000;0.581;"[0.564, 0.597]";0.581;"1";"50.4";"1";"(1) CNR neutral"
"Method A";"Method F";"SNR";0.0000;0.0045;+1.000;"[+1.000, +1.000]";1.000;0.954;"[0.945, 0.962]";0.581;"1";"100.0";"1";"(2) OC/CNR neutral"
"Method A";"Method C";"SNR";0.0000;0.0036;+1.000;"[+1.000, +1.000]";1.000;1.670;"[1.660, 1.681]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
"Method A";"Method D";"SNR";0.0000;0.0038;+1.000;"[+1.000, +1.000]";1.000;1.355;"[1.335, 1.372]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
"Method B";"Method C";"SNR";0.0000;0.0050;+1.000;"[+1.000, +1.000]";1.000;0.943;"[0.916, 0.972]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
"Method C";"Method D";"SNR";0.0000;0.0083;-1.000;"[-1.000, -1.000]";1.000;0.725;"[0.704, 0.747]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
