Final Rank,Dataset,Bootstrap Rank,Frequency (%),Rank Count
1,"Method D",1,100.00,175
2,"Method G",2,97.71,171
2,"Method G",3,2.29,4
3,"Method B",2,2.29,4
3,"Method B",3,64.57,113
3,"Method B",4,3.43,6
3,"Method B",5,29.71,52
4,"Method A",3,4.57,8
4,"Method A",4,18.86,33
4,"Method A",5,14.86,26
4,"Method A",6,50.29,88
4,"Method A",7,11.43,20
5,"Method F",3,28.57,50
5,"Method F",4,48.00,84
5,"Method F",5,21.71,38
5,"Method F",6,1.71,3
6,"Method E",4,20.57,36
6,"Method E",5,31.43,55
6,"Method E",6,43.43,76
6,"Method E",7,4.57,8
7,"Method C",4,9.14,16
7,"Method C",5,2.29,4
7,"Method C",6,4.57,8
7,"Method C",7,84.00,147
