"Dataset 1";"Dataset 2";"Test";"p-value";"p-Thr";"Delta";"d 95% CI";"Delta-Thr";"RelDiff";"r 95% CI";"Rel-Thr";"Win";"Power (%)";"Swap";"Reason"
"Method A";"Method B";"OC";0.0000;0.0024;-1.000;"[-1.000, -1.000]";1.000;1.192;"[1.190, 1.193]";0.708;"1";"100.0";"";"(1) Decision by number of wins"
"Method A";"Method C";"OC";0.0000;0.0025;-1.000;"[-1.000, -1.000]";1.000;1.762;"[1.737, 1.783]";0.708;"1";"100.0";"";"(1) Decision by number of wins"
"Method A";"Method D";"OC";0.0000;0.0026;-1.000;"[-1.000, -1.000]";1.000;1.571;"[1.546, 1.591]";0.708;"1";"100.0";"";"(1) Decision by number of wins"
"Method A";"Method G";"OC";0.0000;0.0031;-1.000;"[-1.000, -1.000]";1.000;1.195;"[1.118, 1.256]";0.708;"1";"100.0";"";"(1) Decision by number of wins"
"Method B";"Method C";"OC";0.0000;0.0033;-1.000;"[-1.000, -1.000]";1.000;1.202;"[1.134, 1.260]";0.708;"1";"100.0";"";"(1) Decision by number of wins"
"Method B";"Method D";"OC";0.0000;0.0036;-1.000;"[-1.000, -1.000]";1.000;0.713;"[0.659, 0.760]";0.708;"1";"58.2";"";"(1) Decision by number of wins"
"Method B";"Method E";"OC";0.0000;0.0038;+1.000;"[+1.000, +1.000]";1.000;0.919;"[0.909, 0.929]";0.708;"1";"100.0";"";"(1) Decision by number of wins"
"Method B";"Method F";"OC";0.0000;0.0042;+0.873;"[+0.740, +0.951]";1.000;0.468;"[0.460, 0.474]";0.708;"0";"0.0";"";"(1) Decision by number of wins"
"Method C";"Method E";"OC";0.0000;0.0050;+1.000;"[+1.000, +1.000]";1.000;1.662;"[1.630, 1.689]";0.708;"1";"100.0";"";"(1) Decision by number of wins"
"Method C";"Method F";"OC";0.0000;0.0056;+1.000;"[+1.000, +1.000]";1.000;1.464;"[1.415, 1.506]";0.708;"1";"100.0";"";"(1) Decision by number of wins"
"Method C";"Method G";"OC";0.0000;0.0063;+1.000;"[+1.000, +1.000]";1.000;1.198;"[1.150, 1.247]";0.708;"1";"100.0";"";"(1) Decision by number of wins"
"Method D";"Method E";"OC";0.0000;0.0071;+1.000;"[+1.000, +1.000]";1.000;1.402;"[1.374, 1.426]";0.708;"1";"100.0";"";"(1) Decision by number of wins"
"Method D";"Method F";"OC";0.0000;0.0083;+1.000;"[+1.000, +1.000]";1.000;1.090;"[1.049, 1.125]";0.708;"1";"100.0";"";"(1) Decision by number of wins"
"Method D";"Method G";"OC";0.0000;0.0100;+1.000;"[+1.000, +1.000]";1.000;0.708;"[0.659, 0.766]";0.708;"1";"50.8";"";"(1) Decision by number of wins"
