Metric,Effect Size,Correction Factor,Median,Mean,Min,Max
OC,Cliff's Delta,Bias (z0),+0.000,+0.012,-0.133,+0.113
OC,Cliff's Delta,Skewness (a),+0.000,+0.010,-0.063,+0.101
OC,Relative Difference,Bias (z0),-0.021,-0.013,-0.040,+0.018
OC,Relative Difference,Skewness (a),-0.011,-0.012,-0.027,+0.005
CNR,Cliff's Delta,Bias (z0),+0.060,+0.133,-2.871,+2.525
CNR,Cliff's Delta,Skewness (a),-0.003,+0.003,-0.045,+0.064
CNR,Relative Difference,Bias (z0),+0.009,+0.008,-0.027,+0.052
CNR,Relative Difference,Skewness (a),+0.001,+0.011,-0.002,+0.033
SNR,Cliff's Delta,Bias (z0),+0.000,+0.003,-0.204,+0.253
SNR,Cliff's Delta,Skewness (a),+0.000,-0.001,-0.117,+0.106
SNR,Relative Difference,Bias (z0),+0.009,+0.010,-0.019,+0.041
SNR,Relative Difference,Skewness (a),+0.007,+0.001,-0.008,+0.009
