Final Rank,Dataset,Bootstrap Rank,Frequency (%),Rank Count
1,"Method D",1,100.00,140
2,"Method B",2,81.43,114
2,"Method B",3,2.14,3
2,"Method B",4,16.43,23
3,"Method A",2,2.14,3
3,"Method A",3,20.00,28
3,"Method A",4,18.57,26
3,"Method A",5,55.00,77
3,"Method A",6,4.29,6
4,"Method F",2,16.43,23
4,"Method F",3,62.86,88
4,"Method F",4,20.00,28
4,"Method F",5,0.71,1
5,"Method E",3,10.71,15
5,"Method E",4,45.00,63
5,"Method E",5,42.86,60
5,"Method E",6,1.43,2
6,"Method C",3,4.29,6
6,"Method C",5,1.43,2
6,"Method C",6,94.29,132
